[2025-11-05 18:14:03,736] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[2025-11-05 18:14:22,313] 15 root - INFO - Initiate the data ingestion component
[2025-11-05 18:14:28,628] 55 root - INFO - Performed train test split on the dataframe
[2025-11-05 18:14:28,628] 56 root - INFO - Exited split_data_as_train_test method
[2025-11-05 18:14:28,630] 60 root - INFO - Exporting train and test file path
[2025-11-05 18:14:29,093] 67 root - INFO - Exported train and test file path
[2025-11-05 18:14:29,146] 22 root - INFO - Initiate the data validation
[2025-11-05 18:14:29,434] 34 root - INFO - \u2705 Required number of columns: 2
[2025-11-05 18:14:29,436] 35 root - INFO - \U0001f4c4 DataFrame has 31 columns.
[2025-11-05 18:14:29,437] 41 root - WARNING - \u26a0\ufe0f Column count does NOT match schema.
[2025-11-05 18:14:29,437] 34 root - INFO - \u2705 Required number of columns: 2
[2025-11-05 18:14:29,438] 35 root - INFO - \U0001f4c4 DataFrame has 31 columns.
[2025-11-05 18:14:29,438] 41 root - WARNING - \u26a0\ufe0f Column count does NOT match schema.
