[2025-11-05 18:11:53,895] 160 numexpr.utils - INFO - NumExpr defaulting to 4 threads.
[2025-11-05 18:11:59,398] 15 root - INFO - Initiate the data ingestion component
[2025-11-05 18:12:03,351] 55 root - INFO - Performed train test split on the dataframe
[2025-11-05 18:12:03,351] 56 root - INFO - Exited split_data_as_train_test method
[2025-11-05 18:12:03,354] 60 root - INFO - Exporting train and test file path
[2025-11-05 18:12:03,593] 67 root - INFO - Exported train and test file path
[2025-11-05 18:12:03,620] 22 root - INFO - Initiate the data validation
[2025-11-05 18:12:03,930] 34 root - INFO - \u2705 Required number of columns: 2
[2025-11-05 18:12:03,932] 35 root - INFO - \U0001f4c4 DataFrame has 31 columns.
[2025-11-05 18:12:03,932] 41 root - WARNING - \u26a0\ufe0f Column count does NOT match schema.
[2025-11-05 18:12:03,933] 34 root - INFO - \u2705 Required number of columns: 2
[2025-11-05 18:12:03,933] 35 root - INFO - \U0001f4c4 DataFrame has 31 columns.
[2025-11-05 18:12:03,933] 41 root - WARNING - \u26a0\ufe0f Column count does NOT match schema.
